Postal Code,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,X,Y,
638353,398.4,463.4,429.0,453.5,496.4,531.3,527.5,546.5,513.5,530.0,214.8,7.2,10562.4077,34659.4285,
638352,327.8,394.2,351.5,378.9,440.3,458.2,424.8,455.8,415.1,435.5,188.8,3.8,10588.3369,34685.3577,
638354,340.8,426.0,411.6,425.8,490.5,512.5,492.8,518.9,461.5,490.3,260.2,s,10615.3245,34657.3118,
628911,483.7,565.1,482.2,523.9,536.3,593.1,505.7,567.1,422.4,494.7,515.4,459.9,12586.5943,34508.5367,
628912,645.1,772.3,564.6,711.4,583.3,724.2,546.3,655.8,562.6,609.2,724.1,645.1,12586.5943,34508.5367,
628913,418.9,534.9,486.1,514.6,531.2,563.1,573.4,613.6,491.6,541.6,558.8,537.8,12586.5943,34508.5367,
628914,434.0,577.1,254.5,510.3,435.3,547.3,521.0,514.0,349.8,504.8,585.0,501.3,12586.5943,34508.5367,
628915,467.5,556.1,432.5,507.6,550.6,583.1,535.1,574.5,462.7,537.9,537.6,491.4,12586.5943,34508.5367,
628917,555.4,647.1,517.5,586.8,616.0,684.7,695.7,712.6,594.1,641.9,708.5,625.2,12586.6562,34553.069,
628919,295.7,400.1,318.3,349.2,414.1,417.3,415.7,433.3,378.1,411.8,424.4,396.9,12586.6562,34553.069,
628920,488.3,622.9,527.1,615.9,680.1,705.9,636.5,703.3,561.8,632.4,736.0,662.1,12586.6562,34553.069,
628910,440.3,555.2,513.8,526.7,591.3,645.9,621.5,641.3,566.7,604.6,765.2,683.7,12586.6694,34509.5368,
628916,415.3,528.4,421.4,473.1,491.9,544.6,514.0,539.7,457.9,503.1,548.3,510.0,12619.3262,34557.0034,
648359,383.8,541.6,560.9,567.5,633.3,646.8,659.5,685.5,506.5,603.5,628.6,603.2,12674.4036,37013.6869,
648360,387.2,498.8,488.4,513.5,557.4,599.0,561.8,606.6,444.8,526.1,544.6,516.7,12701.0758,36995.114,
648358,399.3,499.8,474.4,528.9,635.9,646.0,692.4,694.4,535.6,596.8,631.1,617.4,12702.0348,37058.4725,
648361,387.8,521.7,458.3,510.1,509.4,558.2,533.0,565.6,418.9,483.0,564.2,513.7,12732.2909,36986.9261,
648357,413.8,519.3,413.9,478.3,530.9,563.8,584.9,592.4,494.6,544.0,560.6,529.1,12734.3498,37054.4806,
648362,282.0,399.8,375.3,399.6,454.0,460.9,480.2,508.4,393.0,426.1,474.0,426.8,12758.7372,36967.9786,
648355,355.4,486.4,447.4,474.6,520.9,551.7,616.3,618.3,470.4,537.0,587.6,544.2,12762.3507,37030.3879,
648356,367.2,495.7,439.8,521.8,590.9,594.7,670.5,664.4,455.6,559.0,574.6,526.6,12776.5562,37020.3157,
648363,383.3,496.1,439.9,467.0,523.3,601.6,600.1,621.0,490.1,555.2,552.8,536.2,12804.9286,36958.0109,
648364,374.0,486.4,505.2,495.2,519.9,586.3,584.0,599.2,517.0,538.3,585.2,549.9,12819.1607,36960.9617,
648352,365.3,496.0,444.7,497.5,547.5,562.3,564.8,595.7,499.1,590.7,613.0,565.8,12823.8128,37033.4168,
