Postal Code,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,X,Y
638355,-,-,-,s,2.1,4.6,s,3.2,s,s,1.6,1.7,10581.5833,34615.6955
638354,s,-,-,-,-,-,-,-,-,-,-,-,10615.3245,34657.3118
628911,472.7,545.1,415.1,487.9,518.4,511.5,600.9,-,-,-,-,-,12586.5943,34508.5367
628912,473.4,628.9,426.0,486.4,530.9,435.8,735.7,-,-,-,-,-,12586.5943,34508.5367
628913,436.3,507.4,537.6,497.8,554.1,512.1,634.7,-,-,-,-,-,12586.5943,34508.5367
628914,420.8,546.1,467.1,541.9,535.4,552.7,750.0,-,-,-,-,-,12586.5943,34508.5367
628915,404.6,510.4,513.6,504.8,533.3,519.0,674.5,-,-,-,-,-,12586.5943,34508.5367
628917,527.0,645.4,473.8,556.5,537.9,518.4,689.0,-,-,-,-,-,12586.6562,34553.069
628919,346.2,427.7,315.2,375.2,438.9,301.5,570.8,-,-,-,-,-,12586.6562,34553.069
628920,392.5,589.9,481.3,544.5,554.0,560.2,632.2,-,-,-,-,-,12586.6562,34553.069
628910,523.8,676.3,568.6,610.4,542.3,606.4,895.0,-,-,-,-,-,12586.6694,34509.5368
628916,432.1,529.8,459.4,511.3,571.4,531.5,647.6,-,-,-,-,-,12619.3262,34557.0034
648359,357.1,540.3,491.3,533.3,547.4,577.6,842.6,695.2,537.1,615.7,654.4,598.8,12674.4036,37013.6869
648360,314.1,467.0,438.6,463.3,475.9,462.6,625.9,552.8,492.3,538.6,563.7,528.0,12701.0758,36995.114
648358,414.1,570.7,508.6,553.2,571.2,541.2,820.9,671.2,542.9,623.1,686.5,598.3,12702.0348,37058.4725
648361,288.1,442.0,427.6,414.5,423.6,468.3,783.7,593.7,489.2,557.6,531.4,519.1,12732.2909,36986.9261
648357,370.5,504.6,502.2,471.3,536.9,512.9,759.2,611.1,513.2,574.1,562.5,545.3,12734.3498,37054.4806
648362,275.9,399.6,435.4,430.8,433.6,412.2,550.7,499.9,456.0,474.6,493.8,490.0,12758.7372,36967.9786
648355,348.9,472.4,458.0,481.6,538.6,518.4,776.4,622.9,465.4,540.0,570.5,560.1,12762.3507,37030.3879
648356,390.2,510.5,400.4,445.4,542.3,501.6,710.9,620.6,446.1,517.7,639.8,583.8,12776.5562,37020.3157
648363,334.3,467.9,458.4,500.1,524.6,504.9,782.4,613.0,524.1,576.9,615.4,565.7,12804.9286,36958.0109
648364,355.4,508.7,453.6,478.8,526.6,463.5,702.3,627.0,514.6,568.9,680.0,631.9,12819.1607,36960.9617
648352,277.3,470.1,479.5,484.8,555.1,498.9,749.1,622.1,444.8,554.0,566.0,573.8,12823.8128,37033.4168
648351,369.2,525.1,467.7,512.5,553.7,529.9,769.6,629.8,497.8,551.1,568.1,547.1,12850.443,37014.6528
648365,322.5,449.7,414.9,440.5,474.6,459.3,652.8,533.4,443.7,486.1,522.1,504.5,12851.385,36957.4149
648366,312.0,461.6,422.3,439.9,530.1,467.8,666.6,526.3,481.4,533.3,623.4,552.1,12881.3098,36969.9363
648367,296.7,427.7,406.5,419.6,470.2,418.8,612.2,490.4,421.2,480.9,592.0,506.7,12906.5893,37008.3894
648353,298.3,443.2,363.7,406.8,459.4,460.3,654.1,533.3,457.3,513.0,566.6,525.5,12920.6612,37011.8489
648338,408.8,513.4,455.7,498.2,512.2,482.3,881.8,610.5,622.3,655.0,595.0,641.1,13658.9518,35749.0866
648339,559.4,593.8,575.0,609.4,606.8,528.9,906.8,601.0,700.9,693.0,615.6,668.8,13687.6721,35761.2901
648337,453.9,540.4,524.0,556.3,579.1,512.9,949.2,663.5,653.7,720.2,714.0,725.3,13689.0366,35669.5466
648340,567.6,600.2,568.3,613.7,657.9,585.5,"1,020.2",669.8,690.4,737.1,745.3,729.0,13714.635,35772.5839
648336,619.3,654.4,507.8,601.4,708.9,585.5,832.1,699.9,599.7,610.8,679.8,679.3,13718.637,35681.0432
648335,528.1,578.2,661.7,668.6,762.1,661.3,847.7,741.6,645.6,747.1,738.9,688.5,13746.9826,35692.137
648341,515.4,572.7,469.3,529.4,574.0,552.4,902.4,656.9,688.4,712.2,722.2,693.7,13748.4508,35784.6502
648342,454.6,433.8,416.8,518.3,689.0,598.7,818.5,655.1,586.4,779.2,669.0,668.7,13774.8338,35793.1489
648334,505.6,568.2,589.5,608.4,723.5,627.1,757.9,651.3,660.8,691.4,719.6,721.6,13774.86,35702.2699
648333,472.4,528.0,585.7,577.9,722.4,612.8,783.0,752.6,630.1,680.5,680.4,582.1,13801.8977,35711.729
648343,661.8,738.4,466.4,636.5,868.7,685.2,935.2,790.3,851.0,820.5,902.0,858.5,13803.6139,35802.2454
648332,601.1,615.1,552.7,607.6,771.1,616.1,794.4,692.4,631.0,657.3,695.4,690.8,13829.4434,35722.2228
649925,486.3,543.1,577.0,551.4,713.8,605.0,668.5,580.1,610.4,714.0,619.0,651.7,14468.9546,36074.5607
