Po0tal Code,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,0ep,Oct,Nov,Dec,X,Y
98308,"1,575.90","1,006.40","1,335.10","1,653.30","1,324.10","1,676.60","1,586.90","1,077.20","1,524.90","1,664.50","1,591.30","1,552.20",28469.2603,24670.8871
98183,"1,014.00",701.9,446.9,720.5,611.3,"1,310.10","1,167.40","1,923.00","2,399.70","3,576.00","2,719.40","2,078.70",27760.8097,24673.7906
98221,"1,091.60",939,995.5,799,767.2,560.6,953.2,609.1,"1,012.80","1,445.10","1,293.50","1,037.60",27784.604,24730.3451
98309,"1,509.90","1,026.50","1,241.70","1,561.30","1,299.60","1,400.90","1,295.40","1,027.80","1,266.50","1,269.40","1,302.90","1,388.50",28525.5842,24730.3604
98182,830.2,"1,309.40",986.7,990.7,986.1,918,"1,029.00",933,"1,061.40",848.2,939.9,799.9,27734.87,24744.8914
98208,-,-,-,0,0,0,0,821.8,"1,188.60","1,027.80","1,143.40","1,087.10",28656.7841,24787.0544
98209,588.2,"1,143.00","1,331.70","1,376.40","1,298.00","1,295.60","1,127.60","1,141.30","1,632.40","1,727.50","1,688.20","1,639.40",28703.5874,24823.1243
98207,932.4,458.4,790.4,"1,032.00",848.1,"1,044.30",998.3,496.6,819.5,"1,042.80",818,970.7,28644.6174,24825.1136
98206,0,356,726.7,"1,132.40",993.1,"1,010.00","1,054.60",560.6,889.1,"1,171.40",917.2,848.8,28663.0935,24856.3156
98202,"2,294.50","1,597.80","1,875.10","2,321.60","1,815.40","2,648.00","2,246.30","1,279.30","1,942.90","2,369.20","2,162.60","1,971.60",28754.7587,24880.5454
98205,"1,146.00",635,935.8,"1,072.00",882.7,"1,330.90","1,301.40","1,122.90","1,204.30",971.4,"1,168.60","1,147.60",28675.4449,24894.0932
98203,"1,385.30",772.8,"1,042.90","1,210.60","1,047.30","1,162.60","1,207.30","1,177.80","1,338.00","1,158.60","1,264.10","1,357.10",28729.5536,24921.0711
98204,"1,403.10",790.9,838.1,"1,307.40","1,195.70","1,453.10","1,409.20","1,158.20","1,514.40","1,425.20","1,400.00","1,431.10",28697.4903,24943.6638
98395,"1,453.40",764.9,"1,070.00","1,590.90","1,281.00","1,537.10","1,602.30","1,232.40","1,573.90","1,753.10","1,647.30","1,631.00",28382.3735,25008.5608
98328,"1,729.70",926.3,"1,352.30","1,830.20","1,587.80","1,832.90","1,867.90","1,670.60","1,368.30","1,795.40","1,719.40","1,932.90",28664.7829,25045.2465
98393,"1,325.30",880.8,"1,086.80","1,305.80","1,021.10","1,150.00","1,262.10",974.4,"1,346.80","1,366.10","1,298.80","1,184.10",28421.5386,25066.1652
98327,"1,678.90","1,010.00","1,305.70","1,915.30","1,312.80","1,471.20","1,697.30","1,170.00","1,451.90","1,339.50","1,353.60","1,757.70",28650.6285,25067.3016
98530,915.3,632.3,688.1,902.8,704.8,903.1,998.7,834,910.5,"1,218.70","1,119.90","1,138.40",28962.2621,25096.052
98531,"1,004.90",704.9,877.9,"1,285.40","1,074.60","1,220.20","1,237.60",862.4,"1,076.40","1,295.70","1,152.70","1,120.90",28962.2621,25096.052
98532,"1,302.20",847.3,"1,292.60","1,445.00","1,112.80","1,233.10","1,247.30","1,081.20","1,307.40","1,321.30","1,252.70","1,469.80",28962.2621,25096.052
98527,"1,025.40",602.2,950.8,"1,219.70","1,079.30","1,309.50","1,232.10",816.6,"1,241.60","1,189.30","1,223.40","1,166.20",29023.0695,25152.5137
98528,"1,438.50",989.2,"1,240.00","1,307.10","1,154.90","1,431.70","1,368.60",860.5,"1,373.80","1,712.50","1,547.90","1,680.90",29023.0696,25152.5138
98529,"1,512.60",842.9,"1,047.20","1,406.00","1,177.00","1,498.20","1,387.10","1,241.00","1,525.20","1,328.50","1,301.10","1,175.50",29023.0696,25152.5138
98533,788.2,470.1,668.8,969.3,751.3,"1,121.10",994.1,857.6,996,970.4,992.4,967.7,28971.855,25181.5241
98329,"2,001.50","1,256.00","1,778.70","2,315.90","1,942.40","2,122.70","2,095.10","1,574.60","2,056.90","2,003.70","1,985.00","1,913.80",28722.7037,25203.0309
98535,937.8,664.2,837.2,"1,020.90",879.1,"1,128.40","1,099.50",769,"1,072.90",889.6,900.2,969,29023.8909,25225.2932
98534,995.3,576.3,654.8,"1,133.50",825.8,"1,082.80","1,117.10",825.9,"1,096.00","1,060.00","1,165.00","1,059.00",28985.8072,25237.7367
98450,"1,480.00",842.4,"1,107.20","1,506.90","1,270.10","1,397.60","1,421.20","1,152.30","1,401.80","1,488.30","1,427.80","1,485.00",29138.2095,25323.2471
98451,"1,740.60","1,201.60","1,542.10","2,020.50","1,682.90","1,939.10","1,971.80","1,238.50","1,814.20","2,215.00","2,089.40","2,207.30",29138.2095,25323.2471
98373,560.3,307.4,420.9,355,325,406.2,469.7,429.6,527,660.3,619.2,836.5,29084.6357,25458.6588
98372,498.8,316.8,500.8,633,669.7,"1,042.60",856.3,817.8,"1,185.30",967.7,"1,072.90","1,121.40",29055.7152,25478.0561
98449,"1,664.60","1,329.00","1,574.70","2,118.30","1,758.10","1,877.30","2,073.90","1,574.50","2,049.00","2,163.60","2,021.00","2,002.80",29233.521,25488.8762
98369,694,452.3,548.8,685.7,618.9,787.8,764.6,649.9,740.3,680.9,769.3,800.5,29033.6758,25598.524
98370,799.1,523.5,658.5,774.5,684.3,774.9,799,645.7,867.6,"1,007.40","1,031.30",911.6,28991.9267,25637.1632
98371,910.8,615.2,814.5,979.6,939.4,"1,163.50","1,014.40",806.7,"1,206.50","1,575.40","1,305.00","1,158.90",28991.9267,25637.1632
98367,785.9,574,648.6,724,593.5,705,649.4,815.4,832.3,649.3,810.1,"1,089.40",28914.2071,25748.0232
98368,711.1,525.2,687.5,901.8,767.6,926.5,949.9,723.9,860.8,631.3,701.3,729.1,28915.9628,25753.5179
